evaluation,label
超高性价比！性价比简直是无敌！虽然造工比不上大品牌，但价格低啊，找不到比这便宜的了。不过想看的都要会员啊，晒单送我3年会员试试看好啦?！,正面
双十一的时候给自家买了台55x3邻居看到后很喜欢，双十二让我帮他买了台43的，还不错支持暴风,正面
值得购买,正面
性价比很高！,正面
不错,正面
非常好，好评,正面
宝贝很好哟，买之前一直担心电视的质量问题，用了一段时间后才明白那是多余的担心，质量没有任何问题，杠杠的，值得信赖。,正面
老品牌，我信任，看着不错啊。,正面
很轻 感觉 挺单薄 不过价格也便宜 对得起 这个价格了,正面
送货快服务及时，态度很好，非常满意！,正面
12月4日零点抢的，12月5日中午前就送到，刚买完的第二天早上8点半就有客服打电话过来确认订单的情况 及物流的时间选择发送，虽然时间太早，但还是感觉很贴心。第二，收到货后，马上打创维的客服热线，下午4点左右不到就家来安装完毕。整个购物体验非常棒。安装的师付也说这电视不错。就是后来加了一条创维的原厂线158元的高清线。以前机顶盒不是高清线。所以，我还是给了5分。,正面
飞利浦的电器不用说 ，质量杠杠的,正面
东西不错，值得拥有。。。。。q,正面
送给姐姐乔迁新居的礼物，今天到货并安装好了。京东服务非常细心，电视也完好正常，姐姐很满意!,正面
画面清楚、质量保证,正面
画面清晰 师傅安装很好很快 满意,正面
双11 949元买的，价格实惠，能用就行。,正面
显示效果很棒，音质一般般！放在店里用，屏幕大，性价比还可以吧，虽然别其他品牌的贵一点，但资源多！整体做工一般，塑料感挺强的，家里用的话不建议这款！接口比较丰富。整体中规中矩！晒图的视频是超清画质，开启杜比音效的效果，供大家参考！ 晒单： 收起 向左转 向右转,正面
挺好的,正面
东西不错，就是货运特别慢，多次打电话才送到。,正面
挺好的,正面
老家乡里的电视被小娃娃弄坏了，一直都想换一个新电视 在京东上看了又看等到双十一的时候也没下手心里还有些后悔 直到前几天看到风行电视在搞活动果断下单 昨晚师傅送货到家安装好了 电视效果不错 清晰 声音洪亮 物美价廉 希望风行能够越做越好 越做越大,正面
刚开箱试机，屏幕质地很好，画面清淅度高，功能很全，这个价格很值了！,正面
便宜实惠，就是色彩的鲜艳度差了点，如果要求不高还是可以接受的,正面
还是不错的，反应还是比较快的！！！ 晒单： 收起 向左转 向右转 2017-12-10 21:54:20 追加： 电视外观挺不错的，玫瑰金的边框彰显美感。电视遥控操作起来也很方便，遥控器不错，比较灵敏！还会继续购买！！ 收起 向左转 向右转,正面
正品，很好，经常买,正面
不错,正面
还不错。性价比挺高的,正面
果然超薄，也没有太多发热，双十二下单，除了送货时间久点，其他都不错,正面
不错,正面
电视不错，大品牌没问题，比较清晰,正面
使用了两周，效果不错,正面
物流就是赞。服务态度好 ，开箱检查确保没问题。已上电测试，没问题，清晰度好。,正面
电视还没安装，等待安装。不过看着挺好的,正面
确实是没有辜负期望，值得购买，信赖大！,正面
给父母买的，还不错。不亏是小米。,正面
物流可以，装机也快捷，不错,正面
快递送货快，售后服务态度很好，安装师傅上门安装，耐心细致讲解疑问。电视清晰度高，音质不错。暂时没有发现问题。,正面
相信创维的品质，所以购买。收到货比较满意，边缘即使有一点没有全屏，不影响视觉，取出电视后会有指纹留在电视屏幕上面，一般的布可以擦处，比电脑屏幕容易擦拭，其实可以打包出售贴膜，这样小孩子不会好奇一直留指纹到屏幕上，擦拭更容易。遥控比较好用，不看说明书都会使用了，这一点出比我想象的好。视觉满意，在意听觉效果的需要加上音响。本来担心电视会碎屏，收快递现场验货没有这个问题，满意的一次购物！,正面
电视机不错，就是买小了，夏普是没有退换这一说的，除非是大问题，让师傅开签定单，自己的原因，莫得法子，服务和性能肯定都是好评的，相信京东，全部的大件都是京东自营，?东继续加油哦?懒得拍照片，就只拍了一下空调的，嘿嘿,正面
值得购买！功能强大，效果非常不错！,正面
宝贝收到了，包装很完整价格实惠，非常满意的一次购物经历！,正面
宝贝一级棒！师傅也太负责了！好评！,正面
电视质量不错，色彩鲜艳 ，放客厅刚刚好，客服态度也不错。,正面
挺好的，性价比高,正面
，电视机很好。价格便宜服务好，电视显示效果还可以，,正面
电视不错的。送货上门，暂时还没有安装,正面
本人双11买的 这个电视 外观好看 档次高 我的型号是创维65寸H7超薄的 昨天刚开机 电视给我感觉就是小了一点 我本来打算放客厅 现在放 卧室了 我房间要买创维100寸的蓝牙遥控器 随意切换一点都不卡，点什么都是秒出来 好看 大气我还要 再买一台100寸的.真的好喜欢他的架子 就是好看 不卡 大气 买的你放心 买的你安心 买的你绝对不后悔走过路过 千万别错过 支持买 买买 差不多了 我去忙了 非常好,正面
电视收到了显示屏非常清晰，价钱实惠非常满意,正面
物流客服都很给力，比想象的还大，画面也清晰。,正面
曲屏就是比一般的屏清晰，价格还不贵,正面
年会奖品，屏幕色彩不错,正面
终于等到了他的到来，还没看呢，但是之前的小米电视感觉不错,正面
物流就是快 东西也是正品,正面
电视和想象的差不多！海尔大品牌，值得信赖，客服态度好！有啥事立马解决！非常喜欢，值得大家购买，过几天追评,正面
觉得是物有所值，首先送货速度和送货态度都非常满意，然后打开电视，确实做工精细，画面流畅清晰，操作也很人性化。总之，比较满意！,正面
性价比超高，非常划算，而且机器也不错，满意！,正面
物超所值,正面
开箱通电后没啥问题，送货的师傅还是很负责的。曲面屏的确上档次。自己上几颗螺丝安装了，希望不要出问题。,正面
"今天下单中午就到,速度快,下午马上安装!晚上就能看!神速!",正面
感觉不错，装起来美的很，现在只想看电视了，什么都不想干,正面
还很便宜值得这个价格很好,正面
产品很好，目前很满意。但我支付的2年售后服务没有任何凭证，我不知如何取得，请告知,正面
挺不错的，价钱实惠,正面
漂亮，大气，物超所值！,正面
东西不错。很薄很轻。,正面
送货上门超级快，特别给力，自己装上了，特省事特方便，真的太超值了，爸妈特别喜欢。电视操作很简单，主要遥控器方便。视频好多电视剧，可以开开心心大屏追剧。哈哈哈哈哈京东就是快，风行就是好,正面
物美价廉哈，真行不错，下次自己房间再买,正面
物流很快，显示效果也非常不错。,正面
用过一段时间，才来评价。电视很清晰，设计漂亮。很满意的一次购物，感谢京东！谢谢送货小哥！,正面
很好，两点下单上午就到了，服务很好。,正面
京东超级会员，在京东买了好多东西，一直很好，售后还是物流都很满意，东西超级喜欢,正面
物流很快，到货后，第二天安装，用的WiFi看，效果不错。3999买的，物有所值，比去商场买感觉省时，省力，省不省钱，目前不知，估计应该贵不到哪去，也懒的去比价了。,正面
产品质量可以,正面
电视机效果非常好，颜色出彩。画面清晰流畅。另外客服七喜、阳光、坚果的服务也很到位，棒棒哒。,正面
硬屏的图像清晰，性价比高，希望后期不要出什么质量问题,正面
妈妈说，电视机不错，用一段时间再说呗,正面
电视机很满意，大小也正好，画质，音色都不错，很棒。 另外橘子，西瓜客服棒棒哒,正面
不错的小米电视，便宜！质量也不错哦！性价比很高 晒单： 收起 向左转 向右转,正面
东西收到了快递很给力，就是什么配件都没有，连最起码的数据线都没有,正面
挺好的！跟想象中的差不多！物流也快！送货师傅也很好！,正面
整体效果很好，性价比超高！,正面
安装师傅很负责，说是空心墙，多加了几颗螺丝固定。电视试看了下感觉不错。 晒单： 收起 向左转 向右转,正面
挺好的,正面
电视非常好，京东送货非常快，安装师傅也非常负责，态度很好，屏幕非常清晰，价格也非常合理，主要给孩子买来看动画片，不愧是4k非常清楚，孩子很喜欢，而且非常薄，总之非常满意,正面
很好用，色彩很好，简单易用,正面
电视给父母买的，父母觉得很满意,正面
给妈妈买的送货超级快，免费安装，送货人员服务也很热情，安装师傅很用心，给妈妈耐心讲解，妈妈说画面很清晰，内容也很丰富，在家里放着也不大，不占地方，挺好的电视,正面
"非常惊艳！这种价位能买到这么好的电视，感觉物超所值！虽然因为618,京东物流不给力，等了几天有点不耐烦，但是收到电视后全部打消了！资源也算丰富，运行速度也不错！这次自己真的选对了！也非常感谢客服耐心的解答，谢谢！",负面
赶上618，微鲸电视有了大幅度的降价，硬件配置各方面都不错，电视内容也比较丰富，基本比较火的资源都有，好评一下送一年会员，续费也不贵总体来说是一次满意的购物，配送稍微有点慢，不过618也就理解。五星好评奉上。,负面
价格欺诈，先把价格抬很好，然后降价，刚买了没几天，电视还没怎么体验呢，又降了200。有点心塞。询问客服，客服都不搭理的。物流师傅倒是不错，只是物流公司不按约定时间送货，随意更改。,负面
今天下午刚收到机器，送的挂件还没到，因为迫不及待所以就自己安装了底座，开机速度不是很快，视频清晰度也没有想象的好，有颗粒感，不过这个价格还算可以,负面
京东物流慢了些，本来应该昨天送到的，结果今天才送到。电视还可以，稍微有点延迟，性价比很高。,负面
看了几天了，感觉棒棒的，当时买这个电视看中两点，第一是售后只换不修，第二是硬屏，没想到买回家之后效果这么好，电视这个东西都差不多，系统内容很丰富，就是送货的物流不给力，其余的好评！！！请忽视家里的小乱,负面
老实说挺不错的！就是物流太慢了。都申请退货才来,负面
买个了5000块的的电视，结果因为客服问题。电视到了几天放等个挂架。你挂架和电视分开送就算了，明明是下单就可以登记发货挂架的。结果跟我说收到货才登记。就算收货登记也就算了，发货还要7个工作日。这是什么概念？起码12天。垃圾的微鲸，再也不买你们产品了,负面
首先买之前对比了乐视、小米、暴风等品牌，几者各有千秋，乐视配置比较高（3g+16g）的，而且处理器架构是A72，但屏幕是全高清的，超清的价位较高；小米4A55寸的也不错，只是标配版(是2g+8g)；暴风的可分离升级，功能强大，价位合适，真心不错，但缺少地面波接口。综合考虑所以选择这款微鲸的了！(就是应该加强物流配送速度和送货员的专业水平)！,负面
微鲸的性价比非常好，一开始，犹豫很久，最后选择了微鲸，没有失望，这个价格买4K，而且是55寸的。购买的时候还在黑色和金色之间犹豫了一下，相同配置，到手后发现金色非常大气上档次，有一点要提就是买电视不仅仅是买配置了，节目资源的整合也是挑选电视的50%，而资源内容方面了解之后微鲸做的还是很不错的，然后就根据空间情况选购。总之这次购物体验还是不错的。一开始物流配送发错了货，折腾了两天，昨晚收货，接电开机注册成功，今天看了一下，暂时没遇到的问题。就电视本身来说我还是比较喜欢的。好评！,负面
先吐槽一下物流跟网站。订单上写的配送时间8点到18点，约了好几次， 每次都说下午四点半就结束了，拖了一周，约定周六9点，来的时候都十点半了。开机后，在电视上扫码注册账号，用微信、qq、微信、手机号试了很多次，一提交就显示空白页面，换网站操作也一样。打客服电话，客服只会重复一样的话，最后还是在线客服微微帮忙注册的。电视本身不错，画面跟音响都可以，连接联通ip电视、硬盘、电脑都没问题，播放很流畅。而且接口都在一侧，插拔很方便。自己装的底座，电视太大不是特别稳定，准备换成挂架。,负面
相当不错的电视，就是下雨天送货慢了点，等到晚上才送货,负面
新做牌子，对比了小米4A，感觉小米的东西那价不会用什么好东西，看了微鲸的评价不错，到手东西还是不错哦，网上下载了几个4K电视试试效果不错，IPS硬屏不错，说好送的挂架没有送，京东送货超级慢，送了3天，说好赔的2000京豆也没有到账，京东服役越做越差了，希望产品可以用很久,负面
在几个互联网品牌里选这个，主要是听说没有广告，内容也可以 由于本人没在家，家里人签收的，电话里说电视不错。 但是要吐槽下物流有点慢，第三天才到， 还有就是15000的预约卖500吓得我凌晨00.00.00下单结果中午还没卖完，有点无语,负面
暂时没发现问题，正常使用，但是在机器顶部有4个黑点，就不退了，不影响使用，但是一个礼拜了到现在挂架还没送给我，不知道啥原因。音响不错，但是大概什么动态的功能后画面变暗了。,负面
自己安装特别简单..清晰度很好.我爸妈俩老都说不错，试了语音遥控还可以.就是音乐不能语音遥控--音响真心的不咋样，有待提升--可能是6.18原因吧物流特别特别慢！总体感觉上还是老人家说还可以-都可以简单的操作。,负面
618凌晨一点买的，上午客服打电话确认，晚上六点多就送来了，措手不及、送货上楼没得说…还没试过。京东挂架没有了，客服补发，态度还不错！东西很棒！顺便提一句：我记得618这款安装免费，怎么安装客服说还要100的安装费！？一会问客服…,负面
安装还要另外收费，这点不满意,负面
安装师傅不给力,负面
不错刚开始觉得颜色不好，有点失真。后来发现人机对话功能不错。就是没有售后安装服务这点不太好,负面
差评，一星不能再多了，给老人买的，售后安装真是无语，像求大爷一样，一直没给安装，最后还是找了个修电视的熟人给安装的,负面
电视刚刚安装好了，这个分数并不是对电视机本身的，而且针对服务的。我打400预约安装，并说明我有挂架的情况下，客服告知微鲸的挂架质量有保障，我答复可以让安装人员带来，我比较之下再做出选择。本地安装人员联系我后需要我确定是否需要挂架，因为挂架需要他们垫付，如果不要他们就不向成都申请，基于此，我就答复其不需要挂架，仅仅安装，并且安装人员也明确如果安装的话就100元，结果相隔一个小时后，安装人员告知我自己的挂架微鲸明确不予安装。我认为微鲸的服务真的需要加强，并不是说自己硬实力有了软实力就不需要了，或许这个电视坏了以后我就会选本地化服务好的品牌了。,负面
电视清晰度还不错，音响效果好，曲面时尚，希望不要容易出故障！售后安装服务太差，投诉后也没有回馈，让人担忧以后的服务！,负面
电视外观还不错，直接看电视台的节目挺清晰的，不过不知道为啥看网络上的东西清晰度就不是很高了。下单就送货了电视送货挺快的，不过送的壁挂架等了一周才送过去，电话问过说的第二天就能到，所以预约了安装人员，最后自己又花钱买了一个壁挂架，这个有点坑了。等试用之后再追加评价吧！,负面
东西很不错，但是，能否吐槽下微鲸为了省成本HDMI线也没有，电源线过短导致我只能走明线，但是总体来讲还是物有所值，好评，自己慢慢装应用玩吧，安装略贵，一台169，另外不管买几台，会员只送一年。,负面
东西送货超快的，已经在试用，音质不错，但是不提供免费安装服务让人确实太郁闷了，之前买的联想和乐视电视都提供免费安装服务的，互联网品牌还是不行。售后堪忧………,负面
非常不错，第三次买了 这次介绍给同学的。起先，知名度不高 怀着忐忑的心情，结果一直好，就是挂架比较贵，年费还涨了199，现在299了。,负面
给的分低主要是因为2点，第一，货送到了就没下文了，既没有人联系安装，也没有人过问是否有问题！第二，开机广告的时间我已经是无语了，果断低分！！！ 待后期追评其他问题,负面
很好，很清楚，很满意，就是装挂架收费有点贵,负面
快递非常速度！昨晚11点半下的单，及时收到短信确认后今天中午就收到实物了，赞一个送货的速度！ 上门后告知安装挂壁要另外加收50块，因为原有的机器已经有挂架，因此不要求挂装了，就支架放置就OK了， 之前一直犹豫要不要再一次入手国产牌子的电视机，因为刚刚坏的就是国产牌子TCL，还不到3年就屏幕显示模糊了，一直在夏普跟微鲸之间摇摆！知道这个牌子也是同学介绍的，他之前购买的三星后新居入伙换微鲸的，说性价比高，品质也不差，最后选择再一次支持国货！希望不会让我再一次失去信心！期待微鲸的表现！ 刚刚收到还没调试好。目前表现还算OK。 支持国货！,负面
网购这么久第一次给差评，机器前天送到的。挂架昨天送到的。前天晚上8点17分打售后电话预约安装。售后一直没有和我们联系！老公早上又自己打电话去主动联系，售后说他们系统没有登记，让我们等着他们再安排，我就和京东售前联系，售前也不管，只会像复读机一样让我自己找售后.。真是够了，实在忍不了给了差评。要买的亲慎重，东西我确实还没有用不知道效果，但是服务确实不敢恭维，受得气的再考虑购买哈！本来一星也不想给，但是选择不了零星！气的我胃疼,负面
微鲸售后不咋的，到货后预约安装两天半才上门，打了六次电话催促，真是烦死了。,负面
真的是超级速度的，给力的不要不要的，给京东点赞啊。就是还没安装，问了客服说是如果不是微鲸指定的挂架就不免费安装，真的是搞不懂，都是京东一起换购加价下单的，什么是指定，没有明指啊，那不管要不要挂架是不是也应该免费安装啊。囧o(╯□╰)o,负面
自己先装了底座还不错啦，就是预约安装挂架时客服小姐姐竟然说查不到这个型号，其它没什么问题，如不好看追评咯,负面
1.机子看了5天了，挺好的，符合描述的硬屏，大屏，较薄，14kg。 2.画面清晰，赠送一年的会员，可以看腾讯VIP，但是只有超清影片才能体现4k的画质。 3.可以通过小鹰直播看电视直播，系统自带，但是某些电视台的画质非常不好。 4.遥控器简洁好用，如图。但是赠送手环是营销手段，咨询客服说只有300名。早说.... 总体超值超值超值,负面
618抢的，抢完就降价了，挂架等了七天才发过来，当初说的100E卡也没有，客服也不理人，对客服真是没有好感。,负面
差评，6月1日下单，定的24号送货，618的时候看到可以送支架，问客服我下的订单是否送支架，当时想如果不送就重新下个单，客服回复说送。送货的时候没有收到支架，再问客服，客服说根据订单编号查询，不送支架，真是晕。第一次问你们的时候怎么不根据订单编号来查询，就直接说送。等送货了，又说不送，毫无信用可言。,负面
第一次用这个品牌的电视，超出自己预想，非常物超所值！屏幕清晰，反应也算不错，没有明显推迟。值得推荐！手环快来！ 但这次购物，京东超级cao dan！订单被京东取消，完全没有理由，打电话沟通很长时间才解决一个订单，其他商品一直不回复。对京东失望,负面
电视不错，没有坏点，漏光也基本看不出来，看了下电视剧，有点拖影，网上换个接口就好了，暂时没试。京东的预约客服真的要给差评，没经过我同意擅自把送货时间改到星期五，害送货大哥白跑趟。这里要给送货大哥好评，30几度的天气，大中午把电视扛到5楼,负面
电视机反应比较快，自带一年铂金会员，多数视频都可以免费观看，4k电视和2k个人感觉清晰度区别不大，图片是漏光测试。个别客服服务较差。,负面
电视机太差了，系统反应好慢，图像分辨率也不行，送的蓝牙手柄也连接不上，说好的手机投屏功能也用不了。客服态度恶劣，多问几句就不耐烦。发的申通快递也慢得要死。劝大家别买！真是花钱买气受！气死我了,负面
买个了5000块的的电视，结果因为客服问题。电视到了几天放等个挂架。你挂架和电视分开送就算了，明明是下单就可以登记发货挂架的。结果跟我说收到货才登记。就算收货登记也就算了，发货还要7个工作日。这是什么概念？起码12天。垃圾的微鲸，再也不买你们产品了,负面
买完电视后找京东客服和死的一样，理都不理人，我现在严重怀疑售后，到时会不会装死,负面
首先不得不说这是一次糟糕的购物经历，电视到手后外观没什么问题，开机比较慢、大多片源都需要VIP权限这可能是目前智能电视的普遍特点。那么问题来了，进入VIP领取，显示设备码有问题，打电话给客服，共计43'27''这货就没说出个所以然。不承认有问题，说到关键问题就不吱声。要是质量一般我忍了，客服就不能雇个懂点常识的吗！总之我是不会再选微鲸的任何产品了。很认真的写这段评论就是能给大家一个参考。因为售后可能会比产品更重要。,负面
送之前跟客服说了提前两小时叫师傅联系我 结果师傅打电话过来说要直接送来 立马从单位赶回家结果等了送货师傅将近一个小时 期间打了无数个电话 有被挂断的有不接的 联系京东客服也没人回应 然后好不容易送货上门了 态度还不好 真的是醉了,负面
网购这么久第一次给差评，机器前天送到的。挂架昨天送到的。前天晚上8点17分打售后电话预约安装。售后一直没有和我们联系！老公早上又自己打电话去主动联系，售后说他们系统没有登记，让我们等着他们再安排，我就和京东售前联系，售前也不管，只会像复读机一样让我自己找售后.。真是够了，实在忍不了给了差评。要买的亲慎重，东西我确实还没有用不知道效果，但是服务确实不敢恭维，受得气的再考虑购买哈！本来一星也不想给，但是选择不了零星！气的我胃疼,负面
为了个摇控才晒的单，在官网店拿了好几十台电视了，记得我进手第一台电视时的客服都是抢着回答问题和服务的，可是还没到两年，好像微鲸的初心变了，每次和客服交流对话都是和像机器人一样死板。做为客服无法为客户带来好的体验，这是作为客服的悲哀。但是微鲸的电视质量还是有保证的，拿了那么多台电视机，就只是坏个了摇控，画质和色彩也还行。就是现在涨价涨的厉害。再一个是二代的电视的脚比一代的不方便。最后祝微鲸越来越好，成长的同时别忘了初心。,负面
最差劲的一次购物，半颗星都不想给，电视无法领取会员客服都无法解决，让打技术支持电话，打电话给技术支持，态度不错，告诉我也没办法解决，要下班了，第二天再找相关人员解决。电话过程中，旁边其他客服聊天声音特别大。 特别是京东回复客服，完全没有替客户解决问题的态度，微鲸客服严重需要培训啊。太失望了，本来抱很大希望的。这台机器肯定是退货后从新包装了又直接发过来的。账号已经被领取过了。,负面
电视清晰度还不错，音响效果好，曲面时尚，希望不要容易出故障！售后安装服务太差，投诉后也没有回馈，让人担忧以后的服务！,负面
lj啊，刚过一个月就出了问题，卡机，进不去系统了，不能退了，给换了一个，悔不当初啊,负面
电视挺大的，支架就2颗螺丝放不稳，摆电视柜上一碰就摇摇晃晃，猫爬柜子上碰了下电视直接掉地上碎屏了，不退不换，修理费3298元比新买还贵，无语……,负面
新电视拆开就开不了机，本来是想退 无奈墙上的挂架已经打洞安好了，只能申请换，现在还没接到换货的电话 还是选大牌子吧,负面
一星都不值，六一收货，六二开机（第三次开机）出现黑屏，拍照反应给京东，要求退货，京东安排厂家售后检测，检测师傅上门开机，翻翻菜单，记录sn码，就得出结论机器正常，对您没看错就这么简单，这就是故障检测。并且填写服务单是可以涂改的，用语还是要向上面人请示的，按实际填写好像还不行，这就是微鲸的售会。我直接拒签了这个服务单。把服务单发出来大家看看，京东售后也看看是不是与你们收的反馈一致，我这是复印第三联。顺便把故障照片也发一下大家也看看。发这个评论时是六月十二日晚八点了。至今我还在等着结果。但愿我这是个例，算我倒霉，说这么多供大家参考吧。,负面
电视挺大的，支架就2颗螺丝放不稳，摆电视柜上一碰就摇摇晃晃，猫爬柜子上碰了下电视直接掉地上碎屏了，不退不换，修理费3298元比新买还贵，无语……,负面
货己收到，维修标贴损毁，售后说派人上门，结果被忽悠，感觉还行，没人安装，自己动手，已经在使用了,负面
已经是第三台微鲸电视了，总体上微鲸电视性价比还是非常高的。服务也很到位，之前买的第一台微鲸电视，到家后没有一星期就出现了黑屏的问题。立马联系了客服，第二天还是第三天师傅就上门来检查电视问题，确认是电视的问题后，填了相关单据后接着就给换了台新的，到现在没什么问题，这也是我还能买第二台，第三台的原因。不过电视只有1年的保修，还是建议大家购买京东的延保服务，花小钱办大事，用起来也省心。总之微鲸电视还是很不错的，短时间内得到了大家的认可，希望能越做越好。,负面
lj啊，刚过一个月就出了问题，卡机，进不去系统了，不能退了，给换了一个，悔不当初啊,负面
差评差评差评,负面
第二次买微鲸的产品，主要还是看了之前哔哩哔哩上面的比较。最后在和小米电视之间选了微鲸。在软件方面没有太大问题，因为微鲸本身就是电视猫的定制版，软件安装也没有太多问题，非常方便。但是有一点觉得略微小失望，就是原本写支持HDR，但是好像不知道如何在系统里面打开…如果没有HDR虽然也没有影响，但是一开始不宣传就可以了…,负面
电视暂时看着还可以，就是屏幕上有点脏，卖家服务态度很好，就是配送的东西太慢了，半个多月了还没收到赠品呢,负面
国产新秀牌子，6，18拍的，说是送手环，价格也不高，抱着试试看的想法拍的，价格2998.说说优点吧：1.很大，真大，比想象中大不少，这个价格基本买不到别的牌子这么大的。所以性价比高。2，ips硬屏就是好，可视角度大，，颜色不失真。3，底座安装没要钱，免费。4，系统流畅，配置高2+16G，没卡顿，5，系统开放，软件安装没限制6，usb3.0速度快，.蓝牙语音遥控很好用，7，活动免费送一幅挂架，已收到。优点一堆，想到这么多想说这些吧，缺憾：1，用网络看直播电视清晰度不够，家里20m移动宽带，有时略卡。和广电有线高清节目相比有差距，毕竟那些节目得花银子。2.高清节目最好买腾讯会员或者其他会员，赠的会员我还没来得及兑换。(感觉现在买电视像买汽车后期要想享受还得花钱)3，作为微鲸这款55最便宜的电视虽是硬屏但是国产京东方产的，质量不知道咋样，去年好像LG的，又是节约成本的地方。所以既然是初级入门产品，对画质要求高的还是建议选中高端拳头产品型号。第一次码字这么多，累啊……够50字了吧？,负面
还行吧，可以，这个个价钱，要什么真4。一般般喽,负面
