,0
432,正面
433,正面
434,负面
435,正面
436,正面
437,正面
438,正面
439,负面
440,正面
441,正面
442,正面
443,正面
444,正面
445,正面
446,正面
447,正面
448,正面
449,正面
450,正面
451,正面
452,正面
453,正面
454,正面
455,正面
456,正面
457,正面
458,正面
459,正面
460,负面
461,负面
462,正面
463,正面
464,负面
465,正面
466,负面
467,正面
468,正面
469,正面
470,正面
471,正面
472,正面
473,正面
474,正面
475,正面
476,负面
477,正面
478,正面
479,正面
480,正面
481,正面
482,负面
483,正面
484,正面
485,正面
486,正面
487,负面
488,正面
489,正面
490,正面
491,正面
492,正面
493,正面
494,负面
495,正面
496,正面
497,正面
498,正面
499,负面
500,正面
501,正面
502,正面
503,正面
504,正面
505,正面
506,正面
507,正面
508,负面
509,正面
510,正面
511,正面
512,正面
513,正面
514,正面
515,正面
516,正面
517,正面
518,负面
519,正面
520,正面
521,正面
522,正面
523,正面
524,正面
525,正面
526,正面
527,正面
528,正面
529,正面
530,正面
531,正面
532,正面
533,正面
534,正面
535,正面
536,正面
537,正面
538,正面
539,正面
540,正面
541,正面
542,正面
543,正面
544,正面
545,正面
546,正面
547,负面
548,正面
549,负面
550,负面
551,负面
552,正面
553,正面
554,正面
555,正面
556,正面
557,正面
558,正面
559,正面
560,负面
561,负面
562,正面
563,正面
564,正面
565,正面
566,正面
567,正面
568,正面
569,正面
570,正面
571,正面
572,正面
573,正面
574,正面
575,负面
576,正面
577,正面
578,正面
579,正面
580,正面
581,正面
582,负面
583,正面
584,正面
585,正面
586,正面
587,正面
588,正面
589,正面
590,正面
591,正面
592,正面
593,正面
594,正面
595,负面
596,正面
597,负面
598,正面
599,正面
600,正面
601,负面
602,正面
603,正面
604,正面
605,正面
606,正面
607,正面
608,正面
609,负面
610,负面
611,负面
612,正面
613,正面
614,正面
615,正面
616,正面
617,正面
618,负面
619,正面
620,正面
621,正面
622,正面
623,正面
624,正面
625,正面
626,正面
627,正面
628,正面
629,正面
630,正面
631,正面
632,正面
633,正面
634,正面
635,正面
636,正面
637,正面
638,正面
639,正面
640,正面
641,正面
642,正面
643,正面
644,负面
645,正面
646,正面
647,正面
648,正面
649,正面
650,正面
651,正面
652,正面
653,正面
654,正面
655,正面
656,正面
657,正面
658,正面
659,正面
660,正面
661,正面
662,正面
663,正面
664,正面
665,正面
666,正面
667,正面
668,负面
669,正面
670,正面
671,负面
672,正面
673,正面
674,负面
675,正面
676,正面
677,正面
678,正面
679,正面
680,正面
681,正面
682,正面
683,正面
684,正面
685,正面
686,正面
687,正面
688,正面
689,正面
690,正面
691,负面
692,正面
693,正面
694,正面
695,正面
696,正面
697,负面
698,正面
699,正面
700,正面
701,负面
702,正面
703,正面
704,正面
705,正面
706,正面
707,正面
708,正面
709,正面
710,正面
711,负面
712,负面
713,正面
714,正面
715,正面
716,正面
717,正面
718,正面
719,正面
720,正面
721,正面
722,正面
723,正面
724,正面
725,正面
726,负面
727,负面
728,正面
729,正面
730,正面
731,负面
732,正面
733,负面
734,负面
735,正面
736,正面
737,负面
738,正面
739,负面
740,正面
741,正面
742,正面
743,正面
744,正面
745,负面
746,正面
747,正面
748,正面
749,正面
750,正面
751,正面
752,正面
753,正面
754,负面
755,正面
756,正面
757,正面
758,正面
759,正面
760,负面
761,正面
762,正面
763,正面
764,正面
765,负面
766,正面
767,负面
768,正面
769,负面
770,负面
771,正面
772,正面
773,正面
774,负面
775,正面
776,负面
777,正面
778,正面
779,正面
780,正面
781,正面
782,正面
783,正面
784,负面
785,正面
786,正面
787,正面
788,正面
789,正面
790,正面
791,正面
792,正面
793,正面
794,正面
795,正面
796,正面
797,正面
798,正面
799,正面
800,负面
801,正面
802,正面
803,正面
804,正面
805,正面
806,正面
807,正面
808,正面
809,负面
810,负面
811,正面
812,正面
813,正面
814,正面
815,正面
816,正面
817,正面
818,正面
819,正面
820,正面
821,正面
822,正面
823,正面
824,正面
825,正面
826,负面
827,正面
828,正面
829,正面
830,正面
831,正面
832,负面
833,正面
834,正面
835,正面
836,正面
837,负面
838,正面
839,正面
840,负面
841,负面
842,正面
843,正面
844,正面
845,正面
846,正面
847,正面
848,正面
849,正面
850,正面
851,正面
852,正面
853,负面
854,正面
855,负面
856,负面
857,正面
858,正面
859,正面
860,正面
861,正面
862,正面
863,正面
864,负面
865,正面
866,正面
867,正面
868,正面
869,正面
870,正面
871,正面
872,正面
873,正面
874,正面
875,负面
876,正面
877,正面
878,正面
879,负面
880,正面
881,正面
882,负面
883,正面
884,正面
885,负面
886,正面
887,正面
888,正面
889,正面
890,正面
891,负面
892,正面
893,正面
894,正面
895,正面
896,正面
897,正面
898,正面
899,正面
900,正面
901,负面
902,负面
903,正面
904,正面
905,正面
906,正面
907,正面
908,正面
909,正面
910,负面
911,负面
912,正面
913,正面
914,负面
915,正面
916,正面
917,正面
918,负面
919,正面
920,正面
921,正面
922,正面
923,正面
924,正面
925,正面
926,正面
927,正面
928,正面
929,正面
930,正面
931,正面
932,正面
933,正面
934,正面
935,正面
936,正面
937,正面
938,正面
939,正面
940,负面
941,正面
942,正面
943,正面
944,正面
945,正面
946,正面
947,正面
948,正面
949,正面
950,正面
951,正面
952,正面
953,正面
954,负面
955,正面
956,正面
957,正面
958,正面
959,正面
960,负面
961,负面
962,正面
963,正面
964,正面
965,正面
966,正面
967,正面
968,负面
969,正面
970,正面
971,负面
972,正面
973,正面
974,正面
975,负面
976,负面
977,正面
978,正面
979,正面
980,正面
981,正面
982,正面
983,正面
984,正面
985,正面
986,正面
987,正面
988,正面
989,正面
990,正面
991,正面
992,正面
993,正面
994,正面
995,正面
996,正面
997,正面
998,正面
999,负面
1000,负面
1001,负面
1002,正面
1003,负面
1004,正面
1005,正面
1006,正面
1007,正面
1008,正面
1009,正面
1010,正面
1011,正面
1012,正面
1013,正面
1014,正面
1015,正面
1016,正面
1017,正面
1018,正面
1019,正面
1020,负面
1021,正面
1022,正面
1023,负面
1024,负面
1025,正面
1026,负面
1027,正面
1028,正面
1029,正面
1030,正面
1031,负面
1032,正面
1033,负面
1034,正面
1035,正面
1036,正面
1037,负面
1038,正面
1039,正面
1040,正面
1041,正面
1042,正面
1043,正面
1044,正面
1045,正面
1046,正面
1047,负面
1048,正面
1049,正面
1050,正面
1051,正面
1052,正面
1053,负面
1054,正面
1055,正面
1056,正面
1057,正面
1058,负面
1059,正面
1060,正面
1061,正面
1062,正面
1063,正面
1064,正面
1065,正面
1066,负面
1067,负面
1068,正面
1069,正面
1070,正面
1071,负面
1072,正面
1073,正面
1074,正面
1075,正面
1076,正面
1077,正面
1078,正面
1079,正面
1080,正面
1081,正面
1082,正面
1083,正面
1084,正面
1085,正面
1086,正面
1087,正面
1088,正面
1089,负面
1090,正面
1091,负面
1092,正面
1093,正面
1094,正面
1095,正面
1096,正面
1097,正面
1098,正面
1099,正面
1100,正面
1101,负面
1102,负面
1103,正面
1104,正面
1105,负面
1106,正面
1107,正面
1108,正面
1109,正面
1110,正面
1111,正面
1112,负面
1113,正面
1114,正面
1115,正面
1116,正面
1117,正面
1118,正面
1119,正面
1120,正面
1121,正面
1122,正面
1123,正面
1124,正面
1125,正面
1126,负面
1127,正面
1128,正面
1129,正面
1130,负面
1131,正面
1132,负面
1133,负面
1134,正面
1135,负面
1136,负面
1137,正面
1138,正面
1139,正面
1140,正面
1141,正面
1142,正面
1143,正面
1144,正面
1145,正面
1146,正面
1147,正面
1148,正面
1149,正面
1150,正面
1151,正面
1152,正面
1153,正面
1154,正面
1155,正面
1156,正面
1157,正面
1158,正面
1159,正面
1160,正面
1161,正面
1162,正面
1163,正面
1164,正面
1165,正面
1166,正面
1167,正面
1168,正面
1169,负面
1170,正面
1171,正面
1172,负面
1173,正面
1174,正面
1175,正面
1176,正面
1177,正面
1178,负面
1179,正面
1180,正面
1181,正面
1182,正面
1183,正面
1184,正面
1185,正面
1186,正面
1187,负面
1188,正面
1189,负面
1190,正面
1191,正面
1192,正面
1193,正面
1194,正面
1195,正面
1196,正面
1197,正面
1198,正面
1199,正面
1200,正面
1201,正面
1202,正面
1203,正面
1204,负面
1205,正面
1206,正面
1207,正面
1208,负面
1209,负面
1210,正面
1211,正面
1212,正面
1213,正面
1214,正面
1215,正面
1216,正面
1217,正面
1218,正面
1219,正面
1220,正面
1221,正面
1222,负面
1223,正面
1224,正面
1225,正面
1226,负面
1227,正面
1228,正面
1229,正面
1230,正面
1231,正面
1232,正面
1233,正面
1234,正面
1235,正面
1236,负面
1237,正面
1238,正面
1239,正面
1240,正面
1241,正面
1242,正面
1243,负面
1244,正面
1245,正面
1246,负面
1247,正面
1248,负面
1249,正面
1250,正面
1251,正面
1252,正面
1253,负面
1254,负面
1255,正面
1256,正面
1257,负面
1258,正面
1259,负面
1260,正面
1261,正面
1262,负面
1263,正面
1264,正面
1265,负面
1266,正面
1267,正面
1268,正面
1269,正面
1270,正面
1271,正面
1272,负面
1273,正面
